 Datum ; Tijd ; Team thuis ; Team uit ; Zaal ; Fluiten ; Tellen 
 45.388,00 ; 0,69 ; AETOS MB 1 ; Dros-Alterno MB 1 ; Sporthal Middachtensingel ; MA1 ; MA2 
 45.388,00 ; 0,69 ; AETOS MC 6 ; Touché MC 1 ; Sporthal Middachtensingel ; MA1 ; MA2 
 45.388,00 ; 0,77 ; AETOS HS 1 ; Rebo Woningmakelaars Rebelle HS 1 ; Sporthal Middachtensingel ; x ; MC6 
 45.388,00 ; 0,77 ; AETOS MA 2 ; Scylla MA 1 ; Sporthal Middachtensingel ; H2 ; MB1 
;;;;;;
;;;;;;
 45.393,00 ; 0,83 ; AETOS DS 8 ; Dros-Alterno DS 9 ; Valkenhuizen ; H8 ; H8 
 45.393,00 ; 0,83 ; AETOS HS 7 ; D.V.O.L. HS 1 ; Valkenhuizen ; D4 ; D10 
 45.393,00 ; 0,83 ; AETOS HS 9 ; Heyendaal HS 5 ; Valkenhuizen ; H5 ; H5 
;;;;;;
 45.394,00 ; 0,90 ; AETOS HS 5 ; Rensa Family Orion HS 6 ; De Laar ; H7 ; D8 
 45.394,00 ; 0,83 ; AETOS DS 4 ; Toesj DS 1 ; Sporthal Elderveld ; H7 ; H7 
 45.394,00 ; 0,83 ; AETOS MA 4 ; Trivos MA 2 ; Sporthal Elderveld ; D8 ; H9 
;;;;;;
 45.395,00 ; 0,42 ; AETOS JC 2 ; Surf JC 1 ; Sporthal Middachtensingel ; JA1 ; JC3 
 45.395,00 ; 0,42 ; AETOS MA 3 ; TweeVV MA 1 ; Sporthal Middachtensingel ; D10 ; JC3 
 45.395,00 ; 0,42 ; AETOS MC 7 ; Tweestroom MC 1 ; Sporthal Middachtensingel ; D7 ; JC3 
 45.395,00 ; 0,50 ; AETOS DS 7 ; Invicta DS 3 ; Sporthal Middachtensingel ; D3 ; MC7 
 45.395,00 ; 0,50 ; AETOS DS 10 ; TweeVV DS 6 ; Sporthal Middachtensingel ; H8 ; MA3 
 45.395,00 ; 0,50 ; AETOS JC 3 ; SDS JC 1 ; Sporthal Middachtensingel ; H6 ; MC7 
 45.395,00 ; 0,60 ; AETOS DS 2 ; Libero'99 DS 1 ; Sporthal Middachtensingel ; H2 ; JB2 
